labels,scientific_name,location
COMMON HOUSE MARTIN,DELICHON URBICUM,europe;africa;asia
COMMON IORA,AEGITHINA TIPHIA,asia
COMMON LOON,GAVIA IMMER,north america;europe
COMMON POORWILL,PHALAENOPTILUS NUTTALLII,north america
COMMON STARLING,STURNUS VULGARIS,north america;europe;oceania;south america;africa;asia
COMMON SWIFT,APUS APUS,europe;asia;africa
COPPERSMITH BARBET,MEGALAIMA HAEMACEPHALA,asia
COPPERY TAILED COUCAL,CENTROPUS CUPREICAUDUS,africa
CRAB PLOVER,DROMAS ARDEOLA,africa;asia
CRANE HAWK,GERANOSPIZA CAERULESCENS,north america;central america;south america
CREAM COLORED WOODPECKER,CELEUS FLAVUS,south america
CRESTED AUKLET,AETHIA CRISTATELLA,north america;asia
CRESTED CARACARA,CARACARA CHERIWAY,north america;central america;south america
CRESTED COUA,COUA CRISTATA,africa
CRESTED FIREBACK,LOPHURA IGNITA,asia
CRESTED KINGFISHER,MEGACERYLE LUGUBRIS,asia
CRESTED NUTHATCH,SITTA CAROLINENSIS,north america
CRESTED OROPENDOLA,PSAROCOLIUS DECUMANUS,central america;south america
CRESTED SERPENT EAGLE,SPILORNIS CHEELA,asia
CRESTED SHRIKETIT,FALCUNCULUS FRONTATUS,oceania
CRESTED WOOD PARTRIDGE,ROLLULUS ROULOUL,asia
CRIMSON CHAT,EPTHIANURA TRICOLOR,oceania
CRIMSON SUNBIRD,AETHOPYGA SIPARAJA,asia
CROW,CORVUS,north america;europe;asia;africa;oceania
CUBAN TODY,TODUS MULTICOLOR,north america
CUBAN TROGON,PRIOTELUS TEMNURUS,north america
CURL CRESTED ARACARI,PTEROGLOSSUS BEAUHARNAESII,south america
DALMATIAN PELICAN,PELECANUS CRISPUS,europe;asia
DARJEELING WOODPECKER,DENDROCOPOS DARJELLENSIS,asia
DARK EYED JUNCO,JUNCO HYEMALIS,north america
D-ARNAUDS BARBET,TRACHYPHONUS DARNAUDII,africa
DAURIAN REDSTART,PHOENICURUS AUROREUS,asia
DEMOISELLE CRANE,GRUS VIRGO,europe;asia;africa
DOUBLE BARRED FINCH,TAENIOPYGIA BICHENOVII,oceania
DOUBLE BRESTED CORMARANT,PHALACROCORAX AURITUS,north america
DOUBLE EYED FIG PARROT,CYCLOPSITTA DIOPHTHALMA,oceania
DOWNY WOODPECKER,PICOIDES PUBESCENS,north america
DUNLIN,CALIDRIS ALPINA,north america;asia;europe;africa
DUSKY LORY,PSEUDEOS FUSCATA,oceania;asia
DUSKY ROBIN,MELANODRYAS VITTATA,oceania
EARED PITA,HYDRORNIS PHAYREI,asia
EASTERN BLUEBIRD,SIALIA SIALIS,north america
EASTERN BLUEBONNET,NORTHIELLA HAEMATOGASTER,oceania
EASTERN GOLDEN WEAVER,PLOCEUS SUBAUREUS,africa
EASTERN MEADOWLARK,STURNELLA MAGNA,north america;central america;south america
EASTERN ROSELLA,PLATYCERCUS EXIMIUS,oceania
EASTERN TOWEE,PIPILO ERYTHROPHTHALMUS,north america
EASTERN WHIP POOR WILL,ANTROSTOMUS VOCIFERUS,north america;central america
EASTERN YELLOW ROBIN,EOPSALTRIA AUSTRALIS,oceania
ECUADORIAN HILLSTAR,OREOTROCHILUS CHIMBORAZO,south america
EGYPTIAN GOOSE,ALOPOCHEN AEGYPTIACA,africa
ELEGANT TROGON,TROGON ELEGANS,north america;central america
ELLIOTS  PHEASANT,SYRMATICUS ELLIOTI,asia
EMERALD TANAGER,TANGARA FLORIDA,central america;south america
EMPEROR PENGUIN,APTENODYTES FORSTERI,antarctica
EMU,DROMAIUS NOVAEHOLLANDIAE,oceania
ENGGANO MYNA,GRACULA ENGANENSIS,asia
EURASIAN BLACKBIRD,TURDUS MERULA,europe;asia;africa;oceania
EURASIAN BLUE TIT,CYANISTES CAERULEUS,europe;asia;africa
EURASIAN BULLFINCH,PYRRHULA PYRRHULA,europe;asia
EURASIAN COLLARED DOVE,STREPTOPELIA DECAOCTO,europe;asia;north america
EURASIAN GOLDEN ORIOLE,ORIOLUS ORIOLUS,europe;asia;africa
EURASIAN MAGPIE,PICA PICA,europe;asia
EURASIAN TREE SPARROW,PASSER MONTANUS,europe;asia;north america;oceania
EUROPEAN GOLDFINCH,CARDUELIS CARDUELIS,europe;asia;africa
EUROPEAN ROBIN,ERITHACUS RUBECULA,europe;asia;africa
EUROPEAN TURTLE DOVE,STREPTOPELIA TURTUR,europe;asia;africa
EVENING GROSBEAK,COCCOTHRAUSTES VESPERTINUS,north america
FAIRY BLUEBIRD,IRENA,asia
FAIRY PENGUIN,EUDYPTULA MINOR,oceania
FAIRY TERN,STERNULA NEREIS,oceania
FAN TAILED WIDOW,EUPLECTES AXILLARIS,africa
FASCIATED WREN,CAMPYLORHYNCHUS FASCIATUS,south america
FIERY MINIVET,PERICROCOTUS IGNEUS,asia
FIORDLAND PENGUIN,EUDYPTES PACHYRHYNCHUS,oceania
FIRE TAILLED MYZORNIS,MYZORNIS PYRRHOURA,asia
FLAME BOWERBIRD,SERICULUS ARDENS,oceania
FLAME TANAGER,PIRANGA BIDENTATA,north america;central america
FOREST WAGTAIL,DENDRONANTHUS INDICUS,asia
FRIGATE,FREGATIDAE,north america;central america;south america;asia
GAMBELS QUAIL,CALLIPEPLA GAMBELII,north america
GANG GANG COCKATOO,CALLOCEPHALON FIMBRIATUM,oceania
GILA WOODPECKER,MELANERPES UROPYGIALIS,north america
GILDED FLICKER,COLAPTES AURATUS,north america;central america
GLOSSY IBIS,PLEGADIS FALCINELLUS,north america;europe;asia;africa;oceania
GO AWAY BIRD,CORYTHAIXOIDES CONCOLOR,africa
GOLD WING WARBLER,VERMIVORA CHRYSOPTERA,north america;central america;south america
GOLDEN BOWER BIRD,PRIONODURA NEWTONIANA,oceania
GOLDEN CHEEKED WARBLER,SETOPHAGA CHRYSOPARIA,north america;central america
GOLDEN CHLOROPHONIA,CHLOROPHONIA CALLOPHRYS,central america
GOLDEN EAGLE,AQUILA CHRYSAETOS,europe;asia;north america;africa
GOLDEN PARAKEET,GUARUBA GUAROUBA,south america
GOLDEN PHEASANT,CHRYSOLOPHUS PICTUS,asia
GOLDEN PIPIT,TMETOTHYLACUS TENELLUS,africa
GOULDIAN FINCH,ERYTHRURA GOULDIAE,oceania
GRANDALA,GRANDALA COELICOLOR,asia
GRAY CATBIRD,DUMETELLA CAROLINENSIS,north america;central america
GRAY KINGBIRD,TYRANNUS DOMINICENSIS,north america;central america;south america
GRAY PARTRIDGE,PERDIX PERDIX,europe;asia;north america
GREAT ARGUS,ARGUSIANUS ARGUS,asia
GREAT GRAY OWL,STRIX NEBULOSA,north america;europe;asia
GREAT JACAMAR,JACAMEROPS AUREUS,central america;south america
GREAT KISKADEE,PITANGUS SULPHURATUS,north america;central america;south america
GREAT POTOO,NYCTIBIUS GRANDIS,central america;south america
GREAT TINAMOU,TINAMUS MAJOR,central america;south america
GREAT TIT,PARUS MAJOR,europe;asia;africa
GREAT XENOPS,MEGAXENOPS PARNAGUAE,south america
GREATER PEWEE,CONTOPUS PERTINAX,north america
GREATER PRAIRIE CHICKEN,TYMPANUCHUS CUPIDO,north america
GREATOR SAGE GROUSE,CENTROCERCUS UROPHASIANUS,north america
GREEN BROADBILL,CALYPTOMENA VIRIDIS,asia
GREEN JAY,CYANOCORAX YNCAS,south america
GREEN MAGPIE,CISSA CHINENSIS,asia
GREEN WINGED DOVE,CHALCOPHAPS INDICA,asia
GREY CUCKOOSHRIKE,CORACINA CAESIA,africa
GREY HEADED CHACHALACA,ORTALIS CINEREICEPS,central america;south america
GREY HEADED FISH EAGLE,ICHTHYOPHAGA ICHTHYAETUS,asia
GREY PLOVER,PLUVIALIS SQUATAROLA,north america;europe;asia
GROOVED BILLED ANI,CROTOPHAGA SULCIROSTRIS,north america;central america;south america
GUINEA TURACO,TAURACO PERSA,africa
GUINEAFOWL,NUMIDIDAE,africa
GURNEYS PITTA,HYDRORNIS GURNEYI,asia
GYRFALCON,FALCO RUSTICOLUS,north america;europe;asia
HAIRY WOODPECKER,LEUCONOTOPICUS VILLOSUS,north america;central america
HAMERKOP,SCOPUS UMBRETTA,africa
HARLEQUIN DUCK,HISTRIONICUS HISTRIONICUS,north america;europe;asia
HARLEQUIN QUAIL,COTURNIX DELEGORGUEI,africa;asia
HARPY EAGLE,HARPIA HARPYJA,north america;central america;south america
HAWAIIAN GOOSE,BRANTA SANDVICENSIS,oceania
HAWFINCH,COCCOTHRAUSTES COCCOTHRAUSTES,europe;asia;africa
HELMET VANGA,EURYCEROS PREVOSTII,africa
HEPATIC TANAGER,PIRANGA FLAVA,north america;central america;south america
HIMALAYAN BLUETAIL,TARSIGER RUFILATUS,asia
HIMALAYAN MONAL,LOPHOPHORUS IMPEJANUS,asia
HOATZIN,OPHISTHOCOMUS HOAZIN,south america
HOODED MERGANSER,LOPHODYTES CUCULLATUS,north america
HOOPOES,UPUPIDAE,africa;asia;europe
HORNED GUAN,OREOPHASIS DERBIANUS,central america
HORNED LARK,EREMOPHILA ALPESTRIS,nort america;europe;asia
HORNED SUNGEM,HELIACTIN BILOPHUS,south america
HOUSE FINCH,HAEMORHOUS MEXICANUS,north america
HOUSE SPARROW,PASSER DOMESTICUS,north america;central america;south america;europe;asia;africa;oceania
HYACINTH MACAW,ANODORHYNCHUS HYACINTHINUS,central america;south america
IBERIAN MAGPIE,CYANOPICA COOKI,europe
IBISBILL,IBIDORHYNCHA STRUTHERSII,asia
IMPERIAL SHAG,LEUCOCARBO ATRICEPS,south america
INCA TERN,LAROSTERNA INCA,south america
INDIAN BUSTARD,ARDEOTIS NIGRICEPS,asia
INDIAN PITTA,PITTA BRACHYURA,asia
INDIAN ROLLER,CORACIAS BENGHALENSIS,asia
INDIAN VULTURE,GYPS INDICUS,asia
INDIGO BUNTING,PASSERINA CYANEA,north america;central america
INDIGO FLYCATCHER,EUMYIAS INDIGO,asia
INLAND DOTTEREL,CHARADRIUS AUSTRALIS,oceania
IVORY BILLED ARACARI,PTEROGLOSSUS AZARA,south america
IVORY GULL,PAGOPHILA EBURNEA,north america;europe;asia
IWI,VESTIARIA COCCINEA,oceania
JABIRU,JABIRU MYCTERIA,north america;central america;south america
JACK SNIPE,LYMNOCRYPTES MINIMUS,europe;asia;africa
JANDAYA PARAKEET,ARATINGA JANDAYA,south america
JAPANESE ROBIN,ERITHACUS AKAHIGE,asia
JAVA SPARROW,LONCHURA ORYZIVORA,asia
JOCOTOCO ANTPITTA,GRALLARIA RIDGELYI,south america
KAGU,RHYNOCHETOS JUBATUS,oceania
KAKAPO,STRIGOPS HABROPTILUS,oceania
KILLDEAR,CHARADRIUS VOCIFERUS,north america;central america;south america
KING EIDER,SOMATERIA SPECTABILIS,north america;europe;asia
KING VULTURE,SARCORAMPHUS PAPA,central america;south america
KIWI,APTERYX,oceania
KNOB BILLED DUCK,SARKIDIORNIS MELANOTOS,africa;asia
KOOKABURRA,DACELO,oceania
LARK BUNTING,CALAMOSPIZA MELANOCORYS,north america
LAUGHING GULL,LEUCOPHAEUS ATRICILLA,north america;central america;south america
LAZULI BUNTING,PASSERINA AMOENA,north america
LESSER ADJUTANT,LEPTOPTILOS JAVANICUS,asia
LILAC ROLLER,CORACIAS CAUDATUS,africa
LIMPKIN,ARAMUS GUARAUNA,north america;central america;south america
LITTLE AUK,ALLE ALLE,north america;europe
LOGGERHEAD SHRIKE,LANIUS LUDOVICIANUS,north america
LONG-EARED OWL,ASIO OTUS,north america;europe;asia;africa
LUCIFER HUMMINGBIRD,CALOTHORAX LUCIFER,north america
MAGPIE GOOSE,ANSERANAS SEMIPALMATA,oceania
MALABAR HORNBILL,OCYCEROS GRISEUS,asia
MALACHITE KINGFISHER,CORYTHORNIS CRISTATUS,africa
MALAGASY WHITE EYE,ZOSTEROPS MADERASPATANUS,africa
MALEO,MACROCEPHALON MALEO,asia
MALLARD DUCK,ANAS PLATYRHYNCHOS,north america;europe;asia;africa
MANDRIN DUCK,AIX GALERICULATA,europe;asia
MANGROVE CUCKOO,COCCYZUS MINOR,north america;central america;south america
MARABOU STORK,LEPTOPTILOS CRUMENIFER,africa
MASKED BOBWHITE,COLINUS VIRGINIANUS RIDGWAYI,north america
MASKED BOOBY,SULA DACTYLATRA,north america;central america;south america;africa;asia;oceania
MASKED LAPWING,VANELLUS MILES,oceania
MCKAYS BUNTING,PLECTROPHENAX HYPERBOREUS,north america
MERLIN,FALCO COLUMBARIUS,north america;central america;south america;asia;africa
MIKADO  PHEASANT,SYRMATICUS MIKADO,asia
MILITARY MACAW,ARA MILITARIS,north america;south america
MOURNING DOVE,ZENAIDA MACROURA,north america
MYNA,ACRIDOTHERES TRISTIS,asia;oceania;africa
NICOBAR PIGEON,CALOENAS NICOBARICA,asia
NOISY FRIARBIRD,PHILEMON CORNICULATUS,oceania
NOISY MINER,MANORINA MELANOCEPHALA,oceania
NORTHERN BEARDLESS TYRANNULET,CAMPTOSTOMA IMBERBE,north america;central america
NORTHERN CARDINAL,CARDINALIS CARDINALIS,north america;central america
NORTHERN FLICKER,COLAPTES AURATUS,north america;central america
NORTHERN FULMAR,FULMARUS GLACIALIS,north america;asia
NORTHERN GANNET,MORUS BASSANUS,north america;europe
NORTHERN GOSHAWK,ACCIPITER GENTILIS,europe;asia
NORTHERN JACANA,JACANA SPINOSA,north america;central america
NORTHERN MOCKINGBIRD,MIMUS POLYGLOTTOS,north america
NORTHERN PARULA,SETOPHAGA AMERICANA,north america
NORTHERN RED BISHOP,EUPLECTES FRANCISCANUS,north america;africa
NORTHERN SHOVELER,SPATULA CLYPEATA,north america;central america;south america;europe;asia;africa
OCELLATED TURKEY,MELEAGRIS OCELLATA,north america;central america
OILBIRD,STEATORNIS CARIPENSIS,south america
OKINAWA RAIL,GALLIRALLUS OKINAWAE,asia
ORANGE BREASTED TROGON,HARPACTES ORESKIOS,asia
ORANGE BRESTED BUNTING,PASSERINA LECLANCHERII,north america
ORIENTAL BAY OWL,PHODILUS BADIUS,asia
ORNATE HAWK EAGLE,SPIZAETUS ORNATUS,north america;central america;south america
OSPREY,PANDION HALIAETUS,north america;central america;south america;europe;asia;africa;oceania
OSTRICH,STRUTHIO CAMELUS,africa
OVENBIRD,SEIURUS AUROCAPILLA,north america;central america;south america
OYSTER CATCHER,HAEMATOPUS,north america;south america;europe;asia;oceania;africa
PAINTED BUNTING,PASSERINA CIRIS,north america;central america
PALILA,LOXIOIDES BAILLEUI,oceania
PALM NUT VULTURE,GYPOHIERAX ANGOLENSIS,africa
PARADISE TANAGER,TANGARA CHILENSIS,south america
PARAKEET AUKLET,AETHIA PSITTACULA,north america;asia
PATAGONIAN SIERRA FINCH,PHRYGILUS PATAGONICUS,south america
PEACOCK,PAVO CRISTATUS,asia;oceania;north america;central america;south america;europe;africa
PEREGRINE FALCON,FALCO PEREGRINUS,north america;central america;south america;europe;asia;oceania;africa
PHAINOPEPLA,PHAINOPEPLA NITENS,north america
PHILIPPINE EAGLE,PITHECOPHAGA JEFFERYI,asia
PILEATED WOODPECKER,DRYOCOPUS PILEATUS,north america
PINK ROBIN,PETROICA RODINOGASTER,oceania
PLUSH CRESTED JAY,CYANOCORAX CHRYSOPS,south america
POMARINE JAEGER,STERCORARIUS POMARINUS,north america;central america;south america;europe;asia;africa;oceania
PUFFIN,FRATERCULA,europe;north america;asia
PUNA TEAL,ANAS PUNA,south america
PURPLE FINCH,HAEMORHOUS PURPUREUS,north america
PURPLE GALLINULE,PORPHYRIO MARTINICUS,north america;central america;south america
PURPLE MARTIN,PROGNE SUBIS,north america;central america;south america
PURPLE SWAMPHEN,PORPHYRIO PORPHYRIO,europe;africa
PYGMY KINGFISHER,ISPIDINA PICTA,africa
PYRRHULOXIA,CARDINALIS SINUATUS,north america
QUETZAL,PHAROMACHRUS MOCINNO,north america;central america
RAINBOW LORIKEET,TRICHOGLOSSUS MOLUCCANUS,oceania
RAZORBILL,ALCA TORDA,north america;europe
RED BEARDED BEE EATER,NYCTYORNIS AMICTUS,asia
RED BELLIED PITTA,PITTA ERYTHROGASTER,asia
RED BELLIED WOODPECKER,MELANERPES CAROLINUS,north america
RED BILLED TROPICBIRD,PHAETHON AETHEREUS,north america;central america;south america;africa;asia
RED BROWED FINCH,NEOCHMIA TEMPORALIS,oceania
RED CROSSBILL,LOXIA CURVIROSTRA,north america;central america;europe;asia
RED FACED CORMORANT,PHALACROCORAX URILE,north america;asia
